COMPLEX_CATEGORY,COMPLEX_NAME,FACILITY_TYPE,FACILITY_NAME,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,265","2,453",2.55,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"8,244","2,216",3.72,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,568","2,502",2.63,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,059","2,503",2.42,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,776","2,495",2.72,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"7,239","2,449",2.96,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"7,132","3,105",2.3,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"9,086","2,088",4.35,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,066","2,469",2.46,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"8,383","2,216",3.78,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,306","2,504",2.52,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,537","2,526",2.59,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"9,027","2,170",4.16,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"7,133","3,049",2.34,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,414","2,522",2.54,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,384","2,521",2.53,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"8,087","2,386",3.39,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,452","2,505",2.58,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"8,836","2,219",3.98,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,059","2,495",2.43,2.9,"2,506"
,Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,"6,401","2,475",2.59,2.9,"2,506"
